event_type,event_cause,corridor,zone,police_station,veh_type,hour,day_of_week,month,is_weekend,is_peak_hour,priority,requires_road_closure,resolution_minutes,time_unspecified,cause_speed
unplanned,tree_fall,non-corridor,unknown,pulikeshinagar(f.town),unknown,21.0,3.0,3.0,0,1,Low,False,116.8119772,0,fast
planned,construction,orr east 2,unknown,hal old airport,unknown,21.0,3.0,3.0,0,1,High,False,,0,slow
unplanned,others,mysore road,unknown,chamarajpet,unknown,21.0,3.0,3.0,0,1,High,True,13265.728999266668,0,fast
unplanned,others,non-corridor,unknown,byatarayanapura,unknown,21.0,3.0,3.0,0,1,Low,False,17229.866743983333,0,fast
unplanned,pot_holes,non-corridor,unknown,adugodi,unknown,21.0,3.0,3.0,0,1,Low,False,44592.99081365,0,slow
unplanned,vehicle_breakdown,non-corridor,unknown,electronic city,lcv,2.0,2.0,1.0,0,0,Low,False,83.47854003333333,0,fast
unplanned,vehicle_breakdown,mysore road,unknown,ashok nagar,bmtc_bus,5.0,2.0,1.0,0,1,High,False,52.75157615,0,fast
unplanned,vehicle_breakdown,orr north 1,unknown,banaswadi,private_bus,21.0,3.0,3.0,0,1,High,False,74.82553706666666,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,electronic city,heavy_vehicle,2.0,2.0,1.0,0,0,Low,False,,0,fast
unplanned,water_logging,mysore road,unknown,halasuru gate,unknown,3.0,2.0,1.0,0,0,High,False,8282.429940516666,0,slow
unplanned,vehicle_breakdown,magadi road,unknown,magadi road,lcv,1.0,2.0,1.0,0,0,High,False,,0,fast
unplanned,vehicle_breakdown,mysore road,unknown,halasuru gate,bmtc_bus,1.0,2.0,1.0,0,0,High,False,,0,fast
unplanned,vehicle_breakdown,mysore road,unknown,byatarayanapura,heavy_vehicle,4.0,2.0,1.0,0,0,High,False,47.68990556666667,0,fast
unplanned,vehicle_breakdown,orr east 1,unknown,bellandur,bmtc_bus,3.0,2.0,1.0,0,0,High,False,,0,fast
unplanned,tree_fall,non-corridor,unknown,r.t. nagar,unknown,21.0,3.0,3.0,0,1,Low,False,8.620181266666666,0,fast
unplanned,tree_fall,non-corridor,unknown,malleshwaram,unknown,21.0,3.0,3.0,0,1,Low,True,,0,fast
unplanned,others,cbd 2,unknown,cubbon park,unknown,21.0,3.0,3.0,0,1,High,False,,0,fast
unplanned,tree_fall,non-corridor,unknown,jayanagara,unknown,21.0,3.0,3.0,0,1,Low,True,,0,fast
unplanned,tree_fall,non-corridor,unknown,sadashivanagar,unknown,21.0,3.0,3.0,0,1,Low,True,8761.173063133332,0,fast
unplanned,tree_fall,mysore road,unknown,chamarajpet,unknown,21.0,3.0,3.0,0,1,High,True,13245.791290366667,0,fast
unplanned,vehicle_breakdown,bellary road 1,unknown,hebbala,truck,3.0,2.0,1.0,0,0,High,False,,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,jayanagara,bmtc_bus,3.0,2.0,1.0,0,0,Low,False,,0,fast
unplanned,pot_holes,bannerghata road,unknown,j.p. nagar,unknown,22.0,3.0,3.0,0,1,High,False,,0,slow
unplanned,pot_holes,bannerghata road,unknown,j.p. nagar,unknown,22.0,3.0,3.0,0,1,High,False,,0,slow
unplanned,water_logging,west of chord road,unknown,vijayanagara,unknown,22.0,3.0,3.0,0,1,High,False,,0,slow
unplanned,pot_holes,bannerghata road,unknown,j.p. nagar,unknown,22.0,3.0,3.0,0,1,High,False,,0,slow
unplanned,vehicle_breakdown,orr west 1,unknown,banashankari,others,5.0,2.0,1.0,0,1,High,False,141.02791743333333,0,fast
unplanned,others,non-corridor,unknown,ashok nagar,unknown,7.0,2.0,1.0,0,1,Low,False,,0,fast
unplanned,tree_fall,mysore road,unknown,chamarajpet,unknown,22.0,3.0,3.0,0,1,High,False,13203.4163744,0,fast
unplanned,tree_fall,non-corridor,unknown,chamarajpet,unknown,22.0,3.0,3.0,0,1,Low,False,13212.042736283332,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,city market,private_bus,22.0,3.0,3.0,0,1,Low,False,,0,fast
unplanned,pot_holes,orr east 1,south zone 2,madiwala,unknown,2.0,5.0,12.0,1,0,High,False,171296.69161185002,0,slow
unplanned,construction,bellary road 1,unknown,hebbala,unknown,22.0,3.0,3.0,0,1,High,False,545.3734030166667,0,slow
unplanned,vehicle_breakdown,non-corridor,unknown,adugodi,lcv,20.0,3.0,3.0,0,1,Low,True,,0,fast
unplanned,water_logging,old madras road,unknown,halasur,unknown,22.0,3.0,3.0,0,1,High,False,,0,slow
unplanned,pot_holes,non-corridor,unknown,shivajinagar,unknown,22.0,3.0,3.0,0,1,Low,False,,0,slow
unplanned,vehicle_breakdown,orr north 1,unknown,banaswadi,bmtc_bus,22.0,3.0,3.0,0,1,High,False,,0,fast
unplanned,congestion,orr north 2,unknown,kodigehalli,unknown,5.0,2.0,1.0,0,1,High,False,,0,fast
unplanned,vehicle_breakdown,hosur road,unknown,madiwala,bmtc_bus,6.0,2.0,1.0,0,1,High,False,,0,fast
unplanned,vehicle_breakdown,magadi road,unknown,kamakshipalya,heavy_vehicle,5.0,2.0,1.0,0,1,High,False,,0,fast
unplanned,vehicle_breakdown,tumkur road,unknown,sadashivanagar,lcv,19.0,3.0,3.0,0,1,High,False,,0,fast
unplanned,tree_fall,non-corridor,unknown,basavanagudi,unknown,23.0,3.0,3.0,0,0,Low,True,61.79462865,0,fast
unplanned,vehicle_breakdown,mysore road,unknown,chamarajpet,lcv,8.0,2.0,1.0,0,0,High,False,102.3569732,0,fast
unplanned,vehicle_breakdown,hosur road,unknown,madiwala,bmtc_bus,8.0,2.0,1.0,0,0,High,False,,0,fast
unplanned,construction,non-corridor,unknown,chikkabanavara,unknown,11.0,2.0,1.0,0,0,Low,False,,0,slow
unplanned,accident,non-corridor,unknown,electronic city,unknown,16.0,2.0,1.0,0,0,Low,False,,0,fast
unplanned,accident,tumkur road,unknown,chikkabanavara,unknown,19.0,2.0,1.0,0,1,High,False,,0,fast
unplanned,vehicle_breakdown,bannerghata road,unknown,mico layout,heavy_vehicle,19.0,2.0,1.0,0,1,High,False,,0,fast
unplanned,others,non-corridor,west zone 1,jnanabharathi,unknown,9.0,5.0,12.0,1,0,Low,False,150768.82749298334,0,fast
unplanned,pot_holes,unknown,unknown,whitefield,unknown,20.0,2.0,1.0,0,1,Low,False,,0,slow
unplanned,vehicle_breakdown,bellary road 2,unknown,yelahanka,heavy_vehicle,20.0,2.0,1.0,0,1,High,False,102.53794968333334,0,fast
unplanned,vehicle_breakdown,magadi road,unknown,kamakshipalya,bmtc_bus,20.0,2.0,1.0,0,1,High,False,106.48373361666668,0,fast
unplanned,accident,tumkur road,unknown,chikkabanavara,unknown,19.0,2.0,1.0,0,1,High,False,,0,fast
unplanned,vehicle_breakdown,hosur road,unknown,madiwala,heavy_vehicle,19.0,2.0,1.0,0,1,High,True,75.3592525,0,fast
unplanned,others,orr north 2,north zone 2,kodigehalli,unknown,7.0,3.0,12.0,0,1,High,False,59870.43972695,0,fast
unplanned,vehicle_breakdown,bellary road 1,unknown,kodigehalli,lcv,20.0,2.0,1.0,0,1,High,False,,0,fast
unplanned,vehicle_breakdown,tumkur road,unknown,yeshwanthpura,heavy_vehicle,20.0,2.0,1.0,0,1,High,False,,0,fast
unplanned,pot_holes,non-corridor,unknown,k.r. pura,unknown,0.0,6.0,1.0,1,0,Low,True,365.2268505833334,0,slow
planned,construction,orr east 2,unknown,hal old airport,unknown,21.0,2.0,1.0,0,1,High,False,,0,slow
unplanned,vehicle_breakdown,non-corridor,unknown,halasuru gate,private_bus,21.0,3.0,3.0,0,1,Low,False,,0,fast
unplanned,others,non-corridor,unknown,cubbon park,unknown,23.0,3.0,3.0,0,0,Low,False,,0,fast
unplanned,water_logging,orr east 1,unknown,hal old airport,unknown,23.0,3.0,3.0,0,0,High,False,49.972616783333336,0,slow
unplanned,vehicle_breakdown,mysore road,unknown,halasuru gate,bmtc_bus,23.0,3.0,3.0,0,0,High,True,111.6212591,0,fast
unplanned,tree_fall,mysore road,unknown,chamarajpet,unknown,23.0,3.0,3.0,0,0,High,True,13118.919869416666,0,fast
unplanned,road_conditions,orr west 1,unknown,k.s. layout,unknown,21.0,2.0,1.0,0,1,High,False,56341.49851448333,0,slow
unplanned,vehicle_breakdown,non-corridor,unknown,jayanagara,bmtc_bus,21.0,2.0,1.0,0,1,Low,False,,0,fast
unplanned,road_conditions,orr west 1,unknown,banashankari,unknown,21.0,2.0,1.0,0,1,High,False,,0,slow
unplanned,road_conditions,orr west 1,unknown,banashankari,unknown,21.0,2.0,1.0,0,1,High,False,,0,slow
unplanned,vehicle_breakdown,bannerghata road,unknown,mico layout,heavy_vehicle,19.0,2.0,1.0,0,1,High,False,,0,fast
unplanned,vehicle_breakdown,mysore road,unknown,byatarayanapura,heavy_vehicle,21.0,2.0,1.0,0,1,High,False,,0,fast
unplanned,tree_fall,non-corridor,unknown,jayanagara,unknown,23.0,3.0,3.0,0,0,Low,True,,0,fast
unplanned,vehicle_breakdown,orr east 1,unknown,hal old airport,lcv,22.0,2.0,1.0,0,1,High,False,,0,fast
unplanned,road_conditions,orr west 1,unknown,banashankari,unknown,22.0,2.0,1.0,0,1,High,False,,0,slow
unplanned,road_conditions,orr west 1,unknown,banashankari,unknown,22.0,2.0,1.0,0,1,High,False,,0,slow
unplanned,vehicle_breakdown,non-corridor,unknown,halasur,others,20.0,2.0,1.0,0,1,Low,False,,0,fast
unplanned,vehicle_breakdown,tumkur road,unknown,yeshwanthpura,private_bus,20.0,2.0,1.0,0,1,High,False,,0,fast
unplanned,vehicle_breakdown,hosur road,unknown,electronic city,bmtc_bus,0.0,4.0,3.0,0,0,High,False,52.83199456666667,0,fast
planned,construction,old madras road,unknown,cubbon park,unknown,22.0,2.0,1.0,0,1,High,False,,0,slow
unplanned,water_logging,orr east 1,unknown,bellandur,unknown,6.0,3.0,1.0,0,1,High,False,9653.8610076,0,slow
unplanned,vehicle_breakdown,non-corridor,unknown,high ground,others,22.0,3.0,3.0,0,1,Low,False,,0,fast
unplanned,others,non-corridor,unknown,jnanabharathi,unknown,0.0,4.0,3.0,0,0,Low,False,81.46960444999999,0,fast
unplanned,others,mysore road,unknown,byatarayanapura,unknown,23.0,2.0,1.0,0,0,High,False,15.3042995,0,fast
unplanned,tree_fall,non-corridor,unknown,r.t. nagar,unknown,0.0,4.0,3.0,0,0,Low,True,178.15932105,0,fast
unplanned,pot_holes,unknown,unknown,pulikeshinagar(f.town),unknown,23.0,2.0,1.0,0,0,Low,False,94064.39405435,0,slow
unplanned,vehicle_breakdown,non-corridor,unknown,rajajinagar,bmtc_bus,21.0,3.0,3.0,0,1,Low,False,,0,fast
planned,construction,bellary road 2,unknown,chikkajala,unknown,0.0,3.0,2.0,0,0,High,False,31.910260883333333,0,slow
unplanned,vehicle_breakdown,tumkur road,unknown,yeshwanthpura,ksrtc_bus,22.0,3.0,3.0,0,1,High,False,,0,fast
unplanned,pot_holes,non-corridor,north zone 2,yelahanka,unknown,21.0,0.0,11.0,0,1,Low,False,1510.57253935,0,slow
unplanned,pot_holes,magadi road,unknown,kamakshipalya,unknown,0.0,4.0,3.0,0,0,High,False,,0,slow
unplanned,vehicle_breakdown,orr east 1,unknown,hal old airport,lcv,22.0,2.0,1.0,0,1,High,False,,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,jnanabharathi,truck,0.0,3.0,2.0,0,0,Low,False,11.80107465,0,fast
unplanned,vehicle_breakdown,magadi road,unknown,magadi road,auto,1.0,4.0,3.0,0,0,High,False,24.50433823333333,0,fast
unplanned,vehicle_breakdown,mysore road,unknown,chamarajpet,bmtc_bus,1.0,3.0,2.0,0,0,High,False,,0,fast
unplanned,tree_fall,non-corridor,unknown,j.p. nagar,unknown,5.0,3.0,3.0,0,1,Low,False,1228.0686473666667,0,fast
unplanned,vehicle_breakdown,orr east 1,unknown,bellandur,lcv,23.0,2.0,1.0,0,0,High,False,,0,fast
unplanned,vehicle_breakdown,tumkur road,unknown,peenya,lcv,1.0,3.0,2.0,0,0,High,False,86.29591815,0,fast
unplanned,vehicle_breakdown,mysore road,unknown,chamarajpet,heavy_vehicle,2.0,4.0,3.0,0,0,High,False,,0,fast
unplanned,vehicle_breakdown,hosur road,unknown,hsr layout,heavy_vehicle,0.0,3.0,2.0,0,0,High,False,,0,fast
unplanned,vehicle_breakdown,hosur road,unknown,hsr layout,heavy_vehicle,0.0,3.0,2.0,0,0,High,False,,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,sheshadripuram,auto,0.0,4.0,3.0,0,0,Low,False,,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,peenya,bmtc_bus,1.0,4.0,3.0,0,0,Low,False,,0,fast
unplanned,vehicle_breakdown,hosur road,unknown,hsr layout,heavy_vehicle,0.0,3.0,2.0,0,0,High,False,,0,fast
unplanned,vehicle_breakdown,orr north 1,unknown,hebbala,bmtc_bus,2.0,3.0,2.0,0,0,High,False,18.84050655,0,fast
unplanned,vehicle_breakdown,bellary road 1,unknown,sadashivanagar,lcv,3.0,3.0,2.0,0,0,High,False,23.641425966666667,0,fast
unplanned,vehicle_breakdown,tumkur road,unknown,yeshwanthpura,lcv,4.0,4.0,3.0,0,0,High,False,36.504006333333336,0,fast
unplanned,vehicle_breakdown,mysore road,unknown,byatarayanapura,ksrtc_bus,4.0,4.0,3.0,0,0,High,True,23.38282283333333,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,r.t. nagar,others,4.0,4.0,3.0,0,0,Low,False,104.21347743333334,0,fast
unplanned,vehicle_breakdown,bellary road 1,unknown,high ground,private_bus,2.0,3.0,2.0,0,0,High,False,86.29412574999999,0,fast
unplanned,vehicle_breakdown,old airport road,unknown,jeevanbheemanagar,private_car,4.0,4.0,3.0,0,0,High,False,70.8526748,0,fast
unplanned,vehicle_breakdown,bellary road 2,unknown,yelahanka,heavy_vehicle,3.0,3.0,2.0,0,0,High,False,,0,fast
unplanned,vehicle_breakdown,bellary road 2,unknown,yelahanka,heavy_vehicle,4.0,3.0,2.0,0,0,High,False,,0,fast
planned,construction,non-corridor,unknown,chikkabanavara,unknown,4.0,4.0,3.0,0,0,Low,False,,0,slow
unplanned,road_conditions,cbd 2,unknown,shivajinagar,unknown,4.0,4.0,3.0,0,0,High,False,,0,slow
unplanned,vehicle_breakdown,west of chord road,unknown,magadi road,bmtc_bus,1.0,4.0,3.0,0,0,High,False,,0,fast
unplanned,road_conditions,cbd 2,unknown,shivajinagar,unknown,4.0,4.0,3.0,0,0,High,False,,0,slow
unplanned,vehicle_breakdown,non-corridor,unknown,chikkabanavara,lcv,5.0,4.0,3.0,0,1,Low,False,,0,fast
unplanned,vehicle_breakdown,magadi road,unknown,kamakshipalya,heavy_vehicle,4.0,4.0,3.0,0,0,High,False,72.9697583,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,mico layout,bmtc_bus,2.0,3.0,2.0,0,0,Low,False,,0,fast
unplanned,construction,bellary road 2,unknown,chikkajala,unknown,4.0,3.0,2.0,0,0,High,False,60.798384383333335,0,slow
unplanned,vehicle_breakdown,west of chord road,unknown,byatarayanapura,heavy_vehicle,1.0,3.0,2.0,0,0,High,False,,0,fast
unplanned,road_conditions,cbd 2,unknown,cubbon park,unknown,5.0,4.0,3.0,0,1,High,False,40387.38096753333,0,slow
unplanned,others,bannerghata road,unknown,hulimavu,unknown,5.0,3.0,2.0,0,1,High,False,119.5907288,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,wilson garden,bmtc_bus,3.0,3.0,2.0,0,0,Low,False,78.98550595,0,fast
unplanned,vehicle_breakdown,tumkur road,unknown,peenya,lcv,2.0,3.0,2.0,0,0,High,False,,0,fast
unplanned,vehicle_breakdown,orr north 2,unknown,jalahalli,truck,5.0,4.0,3.0,0,1,High,False,138.03128305,0,fast
unplanned,vehicle_breakdown,old airport road,unknown,jeevanbheemanagar,lcv,5.0,3.0,2.0,0,1,High,False,28.37677448333333,0,fast
unplanned,congestion,orr north 2,unknown,kodigehalli,unknown,6.0,3.0,2.0,0,1,High,False,,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,jayanagara,bmtc_bus,5.0,4.0,3.0,0,1,Low,False,93.05635131666666,0,fast
unplanned,others,magadi road,unknown,kamakshipalya,unknown,21.0,5.0,1.0,1,1,High,False,16403.151545516666,0,fast
unplanned,vehicle_breakdown,magadi road,unknown,kamakshipalya,heavy_vehicle,6.0,3.0,2.0,0,1,High,False,,0,fast
unplanned,vehicle_breakdown,mysore road,unknown,chamarajpet,heavy_vehicle,3.0,3.0,2.0,0,0,High,False,,0,fast
unplanned,vehicle_breakdown,non-corridor,unknown,pulikeshinagar(f.town),others,5.0,4.0,3.0,0,1,Low,False,,0,fast
unplanned,vehicle_breakdown,bellary road 1,unknown,sadashivanagar,lcv,3.0,3.0,2.0,0,0,High,False,,0,fast
unplanned,vehicle_breakdown,hosur road,unknown,electronic city,others,6.0,3.0,2.0,0,1,High,False,11.49699995,0,fast
unplanned,pot_holes,non-corridor,central zone 2,shivajinagar,unknown,2.0,6.0,1.0,1,0,Low,False,31510.201385300003,0,slow
unplanned,construction,non-corridor,unknown,hennuru,unknown,5.0,4.0,3.0,0,1,Low,False,9655.5205891,0,slow
unplanned,vehicle_breakdown,mysore road,unknown,byatarayanapura,bmtc_bus,7.0,3.0,2.0,0,1,High,False,,0,fast
unplanned,others,non-corridor,unknown,chamarajpet,unknown,6.0,4.0,3.0,0,1,Low,False,199.88949181666663,0,fast
