event_type,event_cause,corridor,zone,police_station,veh_type,hour,day_of_week,month,is_weekend,is_peak_hour,priority,requires_road_closure,resolution_minutes
unplanned,pot_holes,unknown,unknown,Jeevanbheemanagar,unknown,8.0,1.0,1.0,0,0,Low,False,
unplanned,pot_holes,Non-corridor,unknown,Jeevanbheemanagar,unknown,8.0,1.0,1.0,0,0,Low,False,
unplanned,vehicle_breakdown,Bannerghata Road,unknown,Mico Layout,bmtc_bus,8.0,1.0,1.0,0,0,High,True,
unplanned,vehicle_breakdown,Bannerghata Road,unknown,J.P. Nagar,lcv,5.0,1.0,1.0,0,1,High,False,
unplanned,tree_fall,Non-corridor,unknown,Jayanagara,unknown,20.0,3.0,3.0,0,1,Low,False,2907.6902057166667
unplanned,congestion,ORR North 2,unknown,Kodigehalli,unknown,5.0,1.0,1.0,0,1,High,False,
unplanned,pot_holes,unknown,unknown,Jeevanbheemanagar,unknown,8.0,1.0,1.0,0,0,Low,False,
unplanned,vehicle_breakdown,Magadi Road,unknown,Magadi Road,bmtc_bus,20.0,3.0,3.0,0,1,High,False,
unplanned,accident,Non-corridor,unknown,Electronic City,unknown,3.0,1.0,1.0,0,0,Low,False,
unplanned,vehicle_breakdown,Bannerghata Road,unknown,Mico Layout,heavy_vehicle,15.0,1.0,1.0,0,0,High,False,
unplanned,pot_holes,unknown,unknown,Jeevanbheemanagar,unknown,8.0,1.0,1.0,0,0,Low,False,
planned,construction,ORR East 1,unknown,HAL Old Airport,unknown,11.0,1.0,1.0,0,0,High,False,
unplanned,others,Bellary Road 1,unknown,High ground,unknown,20.0,3.0,3.0,0,1,High,True,106.41915116666668
unplanned,vehicle_breakdown,ORR East 1,unknown,HAL Old Airport,bmtc_bus,20.0,1.0,1.0,0,1,High,False,
unplanned,vehicle_breakdown,Non-corridor,unknown,Chikkabanavara,lcv,18.0,3.0,3.0,0,0,Low,False,
unplanned,vehicle_breakdown,Non-corridor,West Zone 1,Peenya,bmtc_bus,6.0,3.0,12.0,0,1,Low,False,
planned,construction,Non-corridor,unknown,K.G. Halli,unknown,21.0,1.0,1.0,0,1,Low,True,
unplanned,vehicle_breakdown,Tumkur Road,unknown,Yeshwanthpura,lcv,19.0,1.0,1.0,0,1,High,False,
unplanned,others,Tumkur Road,unknown,Yeshwanthpura,unknown,20.0,3.0,3.0,0,1,High,False,133.52983253333335
unplanned,tree_fall,Bellary Road 1,unknown,High ground,unknown,20.0,3.0,3.0,0,1,High,False,1829.3005564666666
unplanned,vehicle_breakdown,ORR East 1,unknown,Bellandur,bmtc_bus,21.0,1.0,1.0,0,1,High,False,55.541728516666666
unplanned,congestion,IRR(Thanisandra road),unknown,Jeevanbheemanagar,unknown,20.0,1.0,1.0,0,1,High,False,
unplanned,vehicle_breakdown,Mysore Road,unknown,Byatarayanapura,lcv,21.0,1.0,1.0,0,1,High,False,
planned,construction,ORR East 2,unknown,HAL Old Airport,unknown,20.0,1.0,1.0,0,1,High,False,
unplanned,vehicle_breakdown,Bellary Road 1,unknown,High ground,private_car,21.0,1.0,1.0,0,1,High,False,69.32987603333332
unplanned,vehicle_breakdown,West of Chord Road,unknown,Malleshwaram,truck,20.0,3.0,3.0,0,1,High,False,
unplanned,road_conditions,Non-corridor,unknown,Whitefield,unknown,21.0,1.0,1.0,0,1,Low,False,61.27697078333333
unplanned,vehicle_breakdown,Non-corridor,unknown,Devanahalli Airport,heavy_vehicle,19.0,1.0,1.0,0,1,Low,True,
unplanned,vehicle_breakdown,Non-corridor,unknown,Mahadevapura,private_car,22.0,1.0,1.0,0,1,Low,False,36.41233746666667
unplanned,tree_fall,Bellary Road 1,unknown,High ground,unknown,20.0,3.0,3.0,0,1,High,False,1819.0784875333334
unplanned,tree_fall,Bellary Road 1,unknown,High ground,unknown,20.0,3.0,3.0,0,1,High,False,1823.1111353833332
unplanned,tree_fall,Bellary Road 1,unknown,High ground,unknown,20.0,3.0,3.0,0,1,High,False,1825.6380844833334
unplanned,vehicle_breakdown,ORR East 1,unknown,HAL Old Airport,private_car,23.0,1.0,1.0,0,0,High,False,
unplanned,tree_fall,Non-corridor,unknown,Malleshwaram,unknown,20.0,3.0,3.0,0,1,Low,True,22124.802723566667
unplanned,vehicle_breakdown,Non-corridor,unknown,Jnanabharathi,bmtc_bus,23.0,1.0,1.0,0,0,Low,False,83.22766023333334
unplanned,vehicle_breakdown,Non-corridor,unknown,Peenya,bmtc_bus,21.0,1.0,1.0,0,1,Low,False,
unplanned,pot_holes,CBD 1,unknown,Shivajinagar,unknown,21.0,3.0,3.0,0,1,High,False,
unplanned,tree_fall,Non-corridor,unknown,J.P. Nagar,unknown,20.0,3.0,3.0,0,1,Low,False,321.23818236666665
unplanned,pot_holes,unknown,unknown,Hennuru,unknown,1.0,2.0,1.0,0,0,High,False,
unplanned,pot_holes,ORR North 1,unknown,Hennuru,unknown,1.0,2.0,1.0,0,0,High,False,
unplanned,vehicle_breakdown,West of Chord Road,unknown,Vijayanagara,bmtc_bus,0.0,2.0,1.0,0,0,High,False,44.18835605
unplanned,vehicle_breakdown,West of Chord Road,unknown,Vijayanagara,bmtc_bus,0.0,2.0,1.0,0,0,High,False,41.797760616666665
unplanned,vehicle_breakdown,Non-corridor,unknown,Chamarajpet,auto,1.0,2.0,1.0,0,0,Low,False,26.158530816666666
unplanned,pot_holes,Magadi Road,unknown,Kamakshipalya,unknown,23.0,1.0,1.0,0,0,High,False,8639.783111666668
unplanned,others,Non-corridor,unknown,Byatarayanapura,unknown,23.0,1.0,1.0,0,0,Low,False,20609.415342416665
unplanned,vehicle_breakdown,Non-corridor,unknown,V.V.Puram (C.Pet),lcv,22.0,1.0,1.0,0,1,Low,False,
unplanned,vehicle_breakdown,Non-corridor,unknown,Rajajinagar,others,23.0,1.0,1.0,0,0,Low,False,
unplanned,pot_holes,Non-corridor,unknown,J.P. Nagar,unknown,21.0,3.0,3.0,0,1,Low,False,5754.0936329333335
unplanned,vehicle_breakdown,ORR East 1,unknown,Bellandur,bmtc_bus,23.0,1.0,1.0,0,0,High,True,
unplanned,vehicle_breakdown,Non-corridor,unknown,No Police Station,heavy_vehicle,19.0,3.0,3.0,0,1,Low,False,
unplanned,vehicle_breakdown,Non-corridor,unknown,Devanahalli Airport,heavy_vehicle,19.0,3.0,3.0,0,1,Low,False,
unplanned,others,Non-corridor,unknown,Jnanabharathi,unknown,21.0,3.0,3.0,0,1,Low,False,15.88912515
unplanned,tree_fall,Non-corridor,unknown,Pulikeshinagar(F.Town),unknown,21.0,3.0,3.0,0,1,Low,False,116.8119772
planned,construction,ORR East 2,unknown,HAL Old Airport,unknown,21.0,3.0,3.0,0,1,High,False,
unplanned,others,Mysore Road,unknown,Chamarajpet,unknown,21.0,3.0,3.0,0,1,High,True,13265.728999266667
unplanned,others,Non-corridor,unknown,Byatarayanapura,unknown,21.0,3.0,3.0,0,1,Low,False,17229.866743983333
unplanned,pot_holes,Non-corridor,unknown,Adugodi,unknown,21.0,3.0,3.0,0,1,Low,False,44592.990813649994
unplanned,vehicle_breakdown,Non-corridor,unknown,Electronic City,lcv,2.0,2.0,1.0,0,0,Low,False,83.47854003333333
unplanned,vehicle_breakdown,Mysore Road,unknown,Ashok Nagar,bmtc_bus,5.0,2.0,1.0,0,1,High,False,52.75157615
unplanned,vehicle_breakdown,ORR North 1,unknown,Banaswadi,private_bus,21.0,3.0,3.0,0,1,High,False,74.82553706666666
unplanned,vehicle_breakdown,Non-corridor,unknown,Electronic City,heavy_vehicle,2.0,2.0,1.0,0,0,Low,False,
unplanned,water_logging,Mysore Road,unknown,Halasuru Gate,unknown,3.0,2.0,1.0,0,0,High,False,8282.429940516666
unplanned,vehicle_breakdown,Magadi Road,unknown,Magadi Road,lcv,1.0,2.0,1.0,0,0,High,False,
unplanned,vehicle_breakdown,Mysore Road,unknown,Halasuru Gate,bmtc_bus,1.0,2.0,1.0,0,0,High,False,
unplanned,vehicle_breakdown,Mysore Road,unknown,Byatarayanapura,heavy_vehicle,4.0,2.0,1.0,0,0,High,False,47.68990556666667
unplanned,vehicle_breakdown,ORR East 1,unknown,Bellandur,bmtc_bus,3.0,2.0,1.0,0,0,High,False,
unplanned,tree_fall,Non-corridor,unknown,R.T. Nagar,unknown,21.0,3.0,3.0,0,1,Low,False,8.620181266666666
unplanned,tree_fall,Non-corridor,unknown,Malleshwaram,unknown,21.0,3.0,3.0,0,1,Low,True,
unplanned,others,CBD 2,unknown,Cubbon Park,unknown,21.0,3.0,3.0,0,1,High,False,
unplanned,tree_fall,Non-corridor,unknown,Jayanagara,unknown,21.0,3.0,3.0,0,1,Low,True,
unplanned,tree_fall,Non-corridor,unknown,Sadashivanagar,unknown,21.0,3.0,3.0,0,1,Low,True,8761.173063133332
unplanned,tree_fall,Mysore Road,unknown,Chamarajpet,unknown,21.0,3.0,3.0,0,1,High,True,13245.791290366667
unplanned,vehicle_breakdown,Bellary Road 1,unknown,Hebbala,truck,3.0,2.0,1.0,0,0,High,False,
unplanned,vehicle_breakdown,Non-corridor,unknown,Jayanagara,bmtc_bus,3.0,2.0,1.0,0,0,Low,False,
unplanned,pot_holes,Bannerghata Road,unknown,J.P. Nagar,unknown,22.0,3.0,3.0,0,1,High,False,
unplanned,pot_holes,Bannerghata Road,unknown,J.P. Nagar,unknown,22.0,3.0,3.0,0,1,High,False,
unplanned,water_logging,West of Chord Road,unknown,Vijayanagara,unknown,22.0,3.0,3.0,0,1,High,False,
unplanned,pot_holes,Bannerghata Road,unknown,J.P. Nagar,unknown,22.0,3.0,3.0,0,1,High,False,
unplanned,vehicle_breakdown,ORR West 1,unknown,Banashankari,others,5.0,2.0,1.0,0,1,High,False,141.02791743333333
unplanned,others,Non-corridor,unknown,Ashok Nagar,unknown,7.0,2.0,1.0,0,1,Low,False,
unplanned,tree_fall,Mysore Road,unknown,Chamarajpet,unknown,22.0,3.0,3.0,0,1,High,False,13203.4163744
unplanned,tree_fall,Non-corridor,unknown,Chamarajpet,unknown,22.0,3.0,3.0,0,1,Low,False,13212.042736283332
unplanned,vehicle_breakdown,Non-corridor,unknown,City Market,private_bus,22.0,3.0,3.0,0,1,Low,False,
unplanned,pot_holes,ORR East 1,South Zone 2,Madiwala,unknown,2.0,5.0,12.0,1,0,High,False,171296.69161185002
unplanned,construction,Bellary Road 1,unknown,Hebbala,unknown,22.0,3.0,3.0,0,1,High,False,545.3734030166667
unplanned,vehicle_breakdown,Non-corridor,unknown,Adugodi,lcv,20.0,3.0,3.0,0,1,Low,True,
unplanned,water_logging,Old Madras Road,unknown,Halasur,unknown,22.0,3.0,3.0,0,1,High,False,
unplanned,pot_holes,Non-corridor,unknown,Shivajinagar,unknown,22.0,3.0,3.0,0,1,Low,False,
unplanned,vehicle_breakdown,ORR North 1,unknown,Banaswadi,bmtc_bus,22.0,3.0,3.0,0,1,High,False,
unplanned,congestion,ORR North 2,unknown,Kodigehalli,unknown,5.0,2.0,1.0,0,1,High,False,
unplanned,vehicle_breakdown,Hosur Road,unknown,Madiwala,bmtc_bus,6.0,2.0,1.0,0,1,High,False,
unplanned,vehicle_breakdown,Magadi Road,unknown,Kamakshipalya,heavy_vehicle,5.0,2.0,1.0,0,1,High,False,
unplanned,vehicle_breakdown,Tumkur Road,unknown,Sadashivanagar,lcv,19.0,3.0,3.0,0,1,High,False,
unplanned,tree_fall,Non-corridor,unknown,Basavanagudi,unknown,23.0,3.0,3.0,0,0,Low,True,61.79462865
unplanned,vehicle_breakdown,Mysore Road,unknown,Chamarajpet,lcv,8.0,2.0,1.0,0,0,High,False,102.3569732
unplanned,vehicle_breakdown,Hosur Road,unknown,Madiwala,bmtc_bus,8.0,2.0,1.0,0,0,High,False,
unplanned,construction,Non-corridor,unknown,Chikkabanavara,unknown,11.0,2.0,1.0,0,0,Low,False,
unplanned,accident,Non-corridor,unknown,Electronic City,unknown,16.0,2.0,1.0,0,0,Low,False,
unplanned,accident,Tumkur Road,unknown,Chikkabanavara,unknown,19.0,2.0,1.0,0,1,High,False,
unplanned,vehicle_breakdown,Bannerghata Road,unknown,Mico Layout,heavy_vehicle,19.0,2.0,1.0,0,1,High,False,
unplanned,others,Non-corridor,West Zone 1,Jnanabharathi,unknown,9.0,5.0,12.0,1,0,Low,False,150768.82749298334
unplanned,pot_holes,unknown,unknown,Whitefield,unknown,20.0,2.0,1.0,0,1,Low,False,
unplanned,vehicle_breakdown,Bellary Road 2,unknown,Yelahanka,heavy_vehicle,20.0,2.0,1.0,0,1,High,False,102.53794968333334
unplanned,vehicle_breakdown,Magadi Road,unknown,Kamakshipalya,bmtc_bus,20.0,2.0,1.0,0,1,High,False,106.48373361666667
unplanned,accident,Tumkur Road,unknown,Chikkabanavara,unknown,19.0,2.0,1.0,0,1,High,False,
unplanned,vehicle_breakdown,Hosur Road,unknown,Madiwala,heavy_vehicle,19.0,2.0,1.0,0,1,High,True,75.3592525
unplanned,others,ORR North 2,North Zone 2,Kodigehalli,unknown,7.0,3.0,12.0,0,1,High,False,59870.439726950004
unplanned,vehicle_breakdown,Bellary Road 1,unknown,Kodigehalli,lcv,20.0,2.0,1.0,0,1,High,False,
unplanned,vehicle_breakdown,Tumkur Road,unknown,Yeshwanthpura,heavy_vehicle,20.0,2.0,1.0,0,1,High,False,
unplanned,pot_holes,Non-corridor,unknown,K.R. Pura,unknown,0.0,6.0,1.0,1,0,Low,True,365.2268505833334
planned,construction,ORR East 2,unknown,HAL Old Airport,unknown,21.0,2.0,1.0,0,1,High,False,
unplanned,vehicle_breakdown,Non-corridor,unknown,Halasuru Gate,private_bus,21.0,3.0,3.0,0,1,Low,False,
unplanned,others,Non-corridor,unknown,Cubbon Park,unknown,23.0,3.0,3.0,0,0,Low,False,
unplanned,water_logging,ORR East 1,unknown,HAL Old Airport,unknown,23.0,3.0,3.0,0,0,High,False,49.972616783333336
unplanned,vehicle_breakdown,Mysore Road,unknown,Halasuru Gate,bmtc_bus,23.0,3.0,3.0,0,0,High,True,111.6212591
unplanned,tree_fall,Mysore Road,unknown,Chamarajpet,unknown,23.0,3.0,3.0,0,0,High,True,13118.919869416666
unplanned,road_conditions,ORR West 1,unknown,K.S. Layout,unknown,21.0,2.0,1.0,0,1,High,False,56341.49851448333
unplanned,vehicle_breakdown,Non-corridor,unknown,Jayanagara,bmtc_bus,21.0,2.0,1.0,0,1,Low,False,
unplanned,road_conditions,ORR West 1,unknown,Banashankari,unknown,21.0,2.0,1.0,0,1,High,False,
unplanned,road_conditions,ORR West 1,unknown,Banashankari,unknown,21.0,2.0,1.0,0,1,High,False,
unplanned,vehicle_breakdown,Bannerghata Road,unknown,Mico Layout,heavy_vehicle,19.0,2.0,1.0,0,1,High,False,
unplanned,vehicle_breakdown,Mysore Road,unknown,Byatarayanapura,heavy_vehicle,21.0,2.0,1.0,0,1,High,False,
unplanned,tree_fall,Non-corridor,unknown,Jayanagara,unknown,23.0,3.0,3.0,0,0,Low,True,
unplanned,vehicle_breakdown,ORR East 1,unknown,HAL Old Airport,lcv,22.0,2.0,1.0,0,1,High,False,
unplanned,road_conditions,ORR West 1,unknown,Banashankari,unknown,22.0,2.0,1.0,0,1,High,False,
unplanned,road_conditions,ORR West 1,unknown,Banashankari,unknown,22.0,2.0,1.0,0,1,High,False,
unplanned,vehicle_breakdown,Non-corridor,unknown,Halasur,others,20.0,2.0,1.0,0,1,Low,False,
unplanned,vehicle_breakdown,Tumkur Road,unknown,Yeshwanthpura,private_bus,20.0,2.0,1.0,0,1,High,False,
unplanned,vehicle_breakdown,Hosur Road,unknown,Electronic City,bmtc_bus,0.0,4.0,3.0,0,0,High,False,52.83199456666667
planned,construction,Old Madras Road,unknown,Cubbon Park,unknown,22.0,2.0,1.0,0,1,High,False,
unplanned,water_logging,ORR East 1,unknown,Bellandur,unknown,6.0,3.0,1.0,0,1,High,False,9653.8610076
unplanned,vehicle_breakdown,Non-corridor,unknown,High ground,others,22.0,3.0,3.0,0,1,Low,False,
unplanned,others,Non-corridor,unknown,Jnanabharathi,unknown,0.0,4.0,3.0,0,0,Low,False,81.46960444999999
unplanned,others,Mysore Road,unknown,Byatarayanapura,unknown,23.0,2.0,1.0,0,0,High,False,15.3042995
unplanned,tree_fall,Non-corridor,unknown,R.T. Nagar,unknown,0.0,4.0,3.0,0,0,Low,True,178.15932105
unplanned,pot_holes,unknown,unknown,Pulikeshinagar(F.Town),unknown,23.0,2.0,1.0,0,0,Low,False,94064.39405434999
unplanned,vehicle_breakdown,Non-corridor,unknown,Rajajinagar,bmtc_bus,21.0,3.0,3.0,0,1,Low,False,
planned,construction,Bellary Road 2,unknown,Chikkajala,unknown,0.0,3.0,2.0,0,0,High,False,31.910260883333333
unplanned,vehicle_breakdown,Tumkur Road,unknown,Yeshwanthpura,ksrtc_bus,22.0,3.0,3.0,0,1,High,False,
unplanned,pot_holes,Non-corridor,North Zone 2,Yelahanka,unknown,21.0,0.0,11.0,0,1,Low,False,1510.57253935
unplanned,pot_holes,Magadi Road,unknown,Kamakshipalya,unknown,0.0,4.0,3.0,0,0,High,False,
unplanned,vehicle_breakdown,ORR East 1,unknown,HAL Old Airport,lcv,22.0,2.0,1.0,0,1,High,False,
unplanned,vehicle_breakdown,Non-corridor,unknown,Jnanabharathi,truck,0.0,3.0,2.0,0,0,Low,False,11.80107465
unplanned,vehicle_breakdown,Magadi Road,unknown,Magadi Road,auto,1.0,4.0,3.0,0,0,High,False,24.504338233333332
unplanned,vehicle_breakdown,Mysore Road,unknown,Chamarajpet,bmtc_bus,1.0,3.0,2.0,0,0,High,False,
unplanned,tree_fall,Non-corridor,unknown,J.P. Nagar,unknown,5.0,3.0,3.0,0,1,Low,False,1228.0686473666667
unplanned,vehicle_breakdown,ORR East 1,unknown,Bellandur,lcv,23.0,2.0,1.0,0,0,High,False,
unplanned,vehicle_breakdown,Tumkur Road,unknown,Peenya,lcv,1.0,3.0,2.0,0,0,High,False,86.29591815
unplanned,vehicle_breakdown,Mysore Road,unknown,Chamarajpet,heavy_vehicle,2.0,4.0,3.0,0,0,High,False,
unplanned,vehicle_breakdown,Hosur Road,unknown,HSR Layout,heavy_vehicle,0.0,3.0,2.0,0,0,High,False,
unplanned,vehicle_breakdown,Hosur Road,unknown,HSR Layout,heavy_vehicle,0.0,3.0,2.0,0,0,High,False,
unplanned,vehicle_breakdown,Non-corridor,unknown,Sheshadripuram,auto,0.0,4.0,3.0,0,0,Low,False,
unplanned,vehicle_breakdown,Non-corridor,unknown,Peenya,bmtc_bus,1.0,4.0,3.0,0,0,Low,False,
unplanned,vehicle_breakdown,Hosur Road,unknown,HSR Layout,heavy_vehicle,0.0,3.0,2.0,0,0,High,False,
unplanned,vehicle_breakdown,ORR North 1,unknown,Hebbala,bmtc_bus,2.0,3.0,2.0,0,0,High,False,18.84050655
unplanned,vehicle_breakdown,Bellary Road 1,unknown,Sadashivanagar,lcv,3.0,3.0,2.0,0,0,High,False,23.641425966666667
unplanned,vehicle_breakdown,Tumkur Road,unknown,Yeshwanthpura,lcv,4.0,4.0,3.0,0,0,High,False,36.504006333333336
unplanned,vehicle_breakdown,Mysore Road,unknown,Byatarayanapura,ksrtc_bus,4.0,4.0,3.0,0,0,High,True,23.382822833333332
unplanned,vehicle_breakdown,Non-corridor,unknown,R.T. Nagar,others,4.0,4.0,3.0,0,0,Low,False,104.21347743333334
unplanned,vehicle_breakdown,Bellary Road 1,unknown,High ground,private_bus,2.0,3.0,2.0,0,0,High,False,86.29412574999999
unplanned,vehicle_breakdown,Old Airport Road,unknown,Jeevanbheemanagar,private_car,4.0,4.0,3.0,0,0,High,False,70.8526748
unplanned,vehicle_breakdown,Bellary Road 2,unknown,Yelahanka,heavy_vehicle,3.0,3.0,2.0,0,0,High,False,
unplanned,vehicle_breakdown,Bellary Road 2,unknown,Yelahanka,heavy_vehicle,4.0,3.0,2.0,0,0,High,False,
planned,construction,Non-corridor,unknown,Chikkabanavara,unknown,4.0,4.0,3.0,0,0,Low,False,
unplanned,road_conditions,CBD 2,unknown,Shivajinagar,unknown,4.0,4.0,3.0,0,0,High,False,
unplanned,vehicle_breakdown,West of Chord Road,unknown,Magadi Road,bmtc_bus,1.0,4.0,3.0,0,0,High,False,
unplanned,road_conditions,CBD 2,unknown,Shivajinagar,unknown,4.0,4.0,3.0,0,0,High,False,
unplanned,vehicle_breakdown,Non-corridor,unknown,Chikkabanavara,lcv,5.0,4.0,3.0,0,1,Low,False,
unplanned,vehicle_breakdown,Magadi Road,unknown,Kamakshipalya,heavy_vehicle,4.0,4.0,3.0,0,0,High,False,72.9697583
unplanned,vehicle_breakdown,Non-corridor,unknown,Mico Layout,bmtc_bus,2.0,3.0,2.0,0,0,Low,False,
unplanned,construction,Bellary Road 2,unknown,Chikkajala,unknown,4.0,3.0,2.0,0,0,High,False,60.798384383333335
unplanned,vehicle_breakdown,West of Chord Road,unknown,Byatarayanapura,heavy_vehicle,1.0,3.0,2.0,0,0,High,False,
unplanned,road_conditions,CBD 2,unknown,Cubbon Park,unknown,5.0,4.0,3.0,0,1,High,False,40387.38096753333
unplanned,others,Bannerghata Road,unknown,Hulimavu,unknown,5.0,3.0,2.0,0,1,High,False,119.59072880000001
unplanned,vehicle_breakdown,Non-corridor,unknown,Wilson Garden,bmtc_bus,3.0,3.0,2.0,0,0,Low,False,78.98550595
unplanned,vehicle_breakdown,Tumkur Road,unknown,Peenya,lcv,2.0,3.0,2.0,0,0,High,False,
unplanned,vehicle_breakdown,ORR North 2,unknown,Jalahalli,truck,5.0,4.0,3.0,0,1,High,False,138.03128305
unplanned,vehicle_breakdown,Old Airport Road,unknown,Jeevanbheemanagar,lcv,5.0,3.0,2.0,0,1,High,False,28.376774483333335
unplanned,congestion,ORR North 2,unknown,Kodigehalli,unknown,6.0,3.0,2.0,0,1,High,False,
unplanned,vehicle_breakdown,Non-corridor,unknown,Jayanagara,bmtc_bus,5.0,4.0,3.0,0,1,Low,False,93.05635131666666
unplanned,others,Magadi Road,unknown,Kamakshipalya,unknown,21.0,5.0,1.0,1,1,High,False,16403.151545516666
unplanned,vehicle_breakdown,Magadi Road,unknown,Kamakshipalya,heavy_vehicle,6.0,3.0,2.0,0,1,High,False,
unplanned,vehicle_breakdown,Mysore Road,unknown,Chamarajpet,heavy_vehicle,3.0,3.0,2.0,0,0,High,False,
unplanned,vehicle_breakdown,Non-corridor,unknown,Pulikeshinagar(F.Town),others,5.0,4.0,3.0,0,1,Low,False,
unplanned,vehicle_breakdown,Bellary Road 1,unknown,Sadashivanagar,lcv,3.0,3.0,2.0,0,0,High,False,
unplanned,vehicle_breakdown,Hosur Road,unknown,Electronic City,others,6.0,3.0,2.0,0,1,High,False,11.49699995
unplanned,pot_holes,Non-corridor,Central Zone 2,Shivajinagar,unknown,2.0,6.0,1.0,1,0,Low,False,31510.201385300003
unplanned,construction,Non-corridor,unknown,Hennuru,unknown,5.0,4.0,3.0,0,1,Low,False,9655.520589099999
unplanned,vehicle_breakdown,Mysore Road,unknown,Byatarayanapura,bmtc_bus,7.0,3.0,2.0,0,1,High,False,
unplanned,others,Non-corridor,unknown,Chamarajpet,unknown,6.0,4.0,3.0,0,1,Low,False,199.88949181666666
unplanned,vehicle_breakdown,Non-corridor,unknown,Sheshadripuram,bmtc_bus,7.0,3.0,2.0,0,1,Low,False,
unplanned,construction,Non-corridor,unknown,No Police Station,unknown,6.0,3.0,2.0,0,1,Low,False,
unplanned,congestion,ORR North 2,unknown,Kodigehalli,unknown,6.0,3.0,2.0,0,1,High,False,
unplanned,pot_holes,Non-corridor,South Zone 1,Hulimavu,unknown,1.0,5.0,12.0,1,0,Low,False,
unplanned,pot_holes,Non-corridor,South Zone 1,Hulimavu,unknown,1.0,5.0,12.0,1,0,Low,False,
unplanned,vehicle_breakdown,Hosur Road,unknown,Madiwala,private_bus,8.0,3.0,2.0,0,0,High,False,75.03727443333334
unplanned,vehicle_breakdown,Old Madras Road,unknown,Halasur,heavy_vehicle,8.0,3.0,2.0,0,0,High,False,
unplanned,others,Hennur Main Road,unknown,K.G. Halli,unknown,6.0,4.0,3.0,0,1,High,False,43.87439846666667
unplanned,pot_holes,Non-corridor,South Zone 1,K.S. Layout,unknown,22.0,4.0,12.0,0,1,Low,False,11562.4573284
